serial_id,sales_order,Date,customer_age,customer_gender,country,state,product_category,sub_category,order_quantity,unit_cost,unit_price,profit,cost,revenue,bike_size,product_model,product_color
178,000261741,2021-12-14,32,F,Australia,Victoria,Bikes,"Mountain Bikes",1,420,769,349,420,769,46,Mountain-400-W,Silver
179,000261742,2021-12-15,29,F,"United States",California,Bikes,"Mountain Bikes",1,1266,2320,1054,1266,2320,42,Mountain-200,Silver
147,000261710,2021-12-06,47,M,"United Kingdom",England,Bikes,"Mountain Bikes",1,1266,2320,1054,1266,2320,38,Mountain-200,Silver
148,000261711,2021-12-07,30,M,"United States",California,Bikes,"Mountain Bikes",4,420,769,1396,1680,3076,38,Mountain-400-W,Silver
149,000261712,2021-12-07,38,M,"United States",California,Bikes,"Mountain Bikes",2,1266,2320,2108,2532,4640,42,Mountain-200,Silver
150,000261713,2021-12-08,19,F,Australia,"New South Wales",Bikes,"Mountain Bikes",4,308,565,1028,1232,2260,42,Mountain-500,Silver
151,000261714,2021-12-08,30,F,Canada,"British Columbia",Bikes,"Mountain Bikes",4,1266,2320,4216,5064,9280,38,Mountain-200,Silver
154,000261717,2021-12-09,33,F,Australia,Victoria,Bikes,"Mountain Bikes",2,1898,3375,2954,3796,6750,38,Mountain-100,Black
180,000261743,2021-12-16,33,F,Australia,"New South Wales",Bikes,"Mountain Bikes",2,1252,2295,2086,2504,4590,38,Mountain-200,Black
132,000261695,2021-12-01,44,M,"United Kingdom",England,Bikes,"Mountain Bikes",1,1266,2320,1054,1266,2320,42,Mountain-200,Silver
133,000261697,2021-12-02,37,M,"United States",California,Bikes,"Mountain Bikes",2,420,769,698,840,1538,46,Mountain-400-W,Silver
134,000261698,2021-12-02,31,F,Australia,"New South Wales",Bikes,"Mountain Bikes",1,420,769,349,420,769,42,Mountain-400-W,Silver
143,000261706,2021-12-05,37,F,"United States",California,Bikes,"Mountain Bikes",1,1252,2295,1043,1252,2295,46,Mountain-200,Black
144,000261707,2021-12-06,23,M,"United Kingdom",England,Bikes,"Mountain Bikes",3,420,769,1047,1260,2307,46,Mountain-400-W,Silver
145,000261708,2021-12-06,27,M,Canada,"British Columbia",Bikes,"Mountain Bikes",1,1252,2295,1043,1252,2295,46,Mountain-200,Black
146,000261709,2021-12-06,36,M,Australia,"New South Wales",Bikes,"Mountain Bikes",1,1252,2295,1043,1252,2295,42,Mountain-200,Black
142,000261705,2021-12-05,35,F,Australia,Queensland,Bikes,"Mountain Bikes",1,1266,2320,1054,1266,2320,38,Mountain-200,Silver
199,000261762,2021-12-19,63,F,Australia,Queensland,Bikes,"Mountain Bikes",4,1252,2295,4172,5008,9180,46,Mountain-200,Black
200,000261763,2021-12-19,18,M,Australia,"South Australia",Bikes,"Mountain Bikes",2,295,540,490,590,1080,40,Mountain-500,Black
201,000261764,2021-12-19,56,F,Germany,Hessen,Bikes,"Mountain Bikes",2,1252,2295,2086,2504,4590,46,Mountain-200,Black
202,000261765,2021-12-19,39,F,"United States",Washington,Bikes,"Mountain Bikes",1,1266,2320,1054,1266,2320,38,Mountain-200,Silver
203,000261766,2021-12-20,33,F,Australia,Victoria,Bikes,"Mountain Bikes",4,1898,3375,5908,7592,13500,38,Mountain-100,Black
155,000261718,2021-12-09,41,F,Germany,Hamburg,Bikes,"Mountain Bikes",1,1266,2320,1054,1266,2320,42,Mountain-200,Silver
156,000261719,2021-12-10,34,F,"United States",California,Bikes,"Mountain Bikes",2,1252,2295,2086,2504,4590,42,Mountain-200,Black
183,000261746,2021-12-17,37,F,"United States",Washington,Bikes,"Mountain Bikes",2,1266,2320,2108,2532,4640,38,Mountain-200,Silver
184,000261747,2021-12-17,31,M,Australia,"New South Wales",Bikes,"Mountain Bikes",1,420,769,349,420,769,42,Mountain-400-W,Silver
185,000261748,2021-12-17,42,F,Germany,Nordrhein-Westfalen,Bikes,"Mountain Bikes",1,1266,2320,1054,1266,2320,46,Mountain-200,Silver
207,000261770,2021-12-20,35,M,Australia,Victoria,Bikes,"Mountain Bikes",1,1266,2320,1054,1266,2320,38,Mountain-200,Silver
208,000261771,2021-12-21,26,M,France,Somme,Bikes,"Mountain Bikes",3,1266,2320,3162,3798,6960,38,Mountain-200,Silver
209,000261772,2021-12-21,23,M,"United Kingdom",England,Bikes,"Mountain Bikes",2,420,769,698,840,1538,46,Mountain-400-W,Silver
210,000261773,2021-12-22,30,F,"United States",Washington,Bikes,"Mountain Bikes",3,1266,2320,3162,3798,6960,38,Mountain-200,Silver
139,000261702,2021-12-04,31,F,Australia,"New South Wales",Bikes,"Mountain Bikes",4,420,1816,1396,1680,7264,42,Mountain-400-W,Silver
